795,sky48,3,142,/,+/00:07,+/00:17,+2/01:38,/,/,/,/
795,devbishnoi,3,142,/,+/00:09,+/00:18,+1/01:45,/,-1/,/,/
1001,win11905,3,203,/-1,+/00:55,+/01:02,-1/,-1/,/,+4/00:46,/
1001,Ishbaev,3,203,+1/,+2/01:43,+/00:16,+/01:04,/,/,/,/
795,NiceBaseballCoder,3,142,/,+2/00:08,+/00:14,+3/01:10,/,/,-2/,/
804,mapleleaves,3,143,/,+/00:08,+/00:25,/,/,/,+/01:50,/
1,V--gLaSsH0ldEr593--V,7,321,/,+/00:01,+/00:04,+/00:08,+1/00:24,+5/01:37,+2/00:49,+/00:58
2,kmjp,7,380,/,+/00:02,+/00:06,+/00:23,+/01:00,+1/01:35,+1/00:41,+1/02:03
1193,Noam13,2,20,/-2,+/00:06,+/00:14,-8/,/,/,/,/
1193,Temotoloraia,2,20,/,+1/00:03,+/00:07,-1/,/,/,-1/,/
400,wewark,3,64,/,+/00:07,+/00:11,+/00:46,/,/,-3/,/
400,livw,3,64,/,+1/00:09,+/00:14,+/00:31,/,/,-2/,/
596,bHemp,3,104,/,+/00:07,+/00:13,+1/01:14,/,/,/,/
596,a2931543,3,104,/,+/00:28,+/00:15,+/01:01,/,/,/,/
1376,zhouzhou,2,27,/,+/00:10,+/00:17,-2/,/,/,-6/,/
1376,spaesk,2,27,/,+/00:10,+/00:17,/,/,/,/,/
200,ZieiN,4,190,/,+1/00:06,+/00:11,+1/00:39,-5/,/,+3/01:24,/
202,-dreamland-,4,191,/,+/00:05,+/00:10,+/00:19,+3/02:07,/,-3/,/
1001,samarth491,3,203,/,+1/00:13,+/00:19,+6/01:41,/,/,/,/
804,Ahmed_Diab,3,143,/-1,+/00:56,+/00:45,-6/,/,/,+1/00:32,/
806,bparul999,3,144,/,+/00:05,+/00:14,+1/01:55,/,/,/,/
1587,palutlaanirudh,2,34,/,+/00:11,+/00:23,-1/,/,/,/,/
1587,HadyMosaad,2,34,/,+1/00:08,+/00:16,-4/,/,/,-1/,/
3,Kilani,7,452,+3/-1,+/00:07,+/00:11,+/00:18,+2/01:48,+4/01:12,+/00:32,+1/02:14
4,neal,7,721,/,+/02:08,+/02:06,+2/00:44,+/01:43,+/01:32,+1/01:14,+/02:04
1193,Nesterfifa,2,20,/,+/00:03,+1/00:07,/,/,/,/,/
1193,Lucerne,2,20,/,+/00:06,+/00:14,/,/,/,-3/,/
400,ahgus89,3,64,/,+/00:02,+/00:07,+/00:55,/,/,-2/,/
400,Princ_iple,3,64,+5/,+/00:04,+/00:10,+/00:50,/,/,-5/,/
603,ZloyHR,3,105,/,+/00:06,+/00:11,+/01:28,/,/,/,/
603,diagon_alley,3,105,/,+/00:07,+/00:12,-1/,/,/,+2/01:06,/
1376,csts.21,2,27,/,+/00:08,+/00:19,/,/,/,/,/
1376,jdanielfandino,2,27,/,+/00:09,+/00:18,-2/,/,/,/,/
